Type,Time,Amount,id_account
Deposit,2024-04-02 01:08:39.126000,154.0,52793784
Deposit,2024-05-02 01:08:39.126000,157.0,52793784
Deposit,2024-06-02 01:08:39.126000,154.0,52793784
Deposit,2024-07-02 01:08:39.126000,157.0,52793784
Deposit,2024-08-02 01:08:39.126000,154.0,52793784
Deposit,2024-09-02 01:08:39.126000,154.0,52793784
Deposit,2024-10-02 01:08:39.126000,154.0,52793784
Deposit,2024-11-02 01:08:39.126000,154.0,52793784
Deposit,2024-12-02 01:08:39.126000,250.0,52793784
Deposit,2025-02-02 01:08:39.126000,168.0,52793784
Deposit,2025-08-02 01:08:39.126000,82.0,52793784
Deposit,2025-09-02 01:08:39.126000,25.0,52793784
Deposit,2025-09-02 01:08:39.126000,69.0,52793784
Deposit,2025-09-02 01:08:39.126000,212.0,52793784
Deposit,2025-10-02 01:08:39.126000,70.0,52793784
Deposit,2025-10-02 01:08:39.126000,136.0,52793784
Deposit,2025-10-02 01:08:39.126000,211.0,52793784
Deposit,2025-10-02 01:08:39.126000,104.0,52793784
Deposit,2025-10-02 01:08:39.126000,527.0,52793784
Deposit,2025-10-02 01:08:39.126000,105.0,52793784
Deposit,2025-11-02 01:08:39.126000,101.0,52793784
Deposit,2025-12-31 04:54:14.773000,260.0,53682207
Deposit,2025-12-31 04:54:14.773000,61.0,52793784
Deposit,2026-01-24 00:26:16.366000,350.0,52793784
Deposit,2026-01-24 00:26:16.366000,1350.0,52793784
Deposit,2026-02-01 23:30:31.426000,100.0,52793784
Deposit,2026-02-01 23:41:12.687000,150.0,53682207
Deposit,2026-02-01 23:21:01.816000,1850.0,52793784
Deposit,2026-02-11 23:58:24.939000,550.0,52793784
Deposit,2026-04-28 01:26:06.888000,160.29,53682207
Deposit,2026-05-13 16:09:19.933000,21.0,52793784
Deposit,2026-05-25 05:00:07.015000,250.0,53682207
