Type,Time,Amount,id_account
Deposit,2024-04-02 01:08:39.126000,154.0,52793784
Deposit,2024-05-02 01:08:39.126000,157.0,52793784
Deposit,2024-06-02 01:08:39.126000,154.0,52793784
Deposit,2024-07-02 01:08:39.126000,157.0,52793784
Deposit,2024-08-02 01:08:39.126000,154.0,52793784
Deposit,2024-09-02 01:08:39.126000,154.0,52793784
Deposit,2024-10-02 01:08:39.126000,154.0,52793784
Deposit,2024-11-02 01:08:39.126000,154.0,52793784
Deposit,2024-12-02 01:08:39.126000,250.0,52793784
Deposit,2025-02-02 01:08:39.126000,168.0,52793784
Deposit,2025-08-02 01:08:39.126000,82.0,52793784
Deposit,2025-09-02 01:08:39.126000,25.0,52793784
Deposit,2025-09-02 01:08:39.126000,69.0,52793784
Deposit,2025-09-02 01:08:39.126000,212.0,52793784
Deposit,2025-10-02 01:08:39.126000,70.0,52793784
Deposit,2025-10-02 01:08:39.126000,136.0,52793784
Deposit,2025-10-02 01:08:39.126000,211.0,52793784
Deposit,2025-10-02 01:08:39.126000,104.0,52793784
Deposit,2025-10-02 01:08:39.126000,527.0,52793784
Deposit,2025-10-02 01:08:39.126000,105.0,52793784
Deposit,2025-11-02 01:08:39.126000,101.0,52793784
Deposit,2025-12-31 04:54:14.773000,260.0,53682207
Deposit,2025-12-31 04:54:14.773000,61.0,52793784
Deposit,2026-01-24 00:26:16.366000,350.0,52793784
Deposit,2026-01-24 00:26:16.366000,1350.0,52793784
Deposit,2026-02-01 23:30:31.426000,100.0,52793784
Deposit,2026-02-01 23:41:12.687000,150.0,53682207
Deposit,2026-02-01 23:21:01.816000,1850.0,52793784
Deposit,2026-02-11 23:58:24.939000,550.0,52793784
Deposit,2026-04-28 01:26:06.888000,160.29,53682207
Deposit,2026-05-13 16:09:19.933000,21.0,52793784
Deposit,2026-05-25 05:00:07.015000,250.0,53682207
Dividend,2026-04-24 09:59:07.401000,0.5,52793784
Dividend,2026-04-24 09:59:06.876000,0.5,52793784
Dividend,2026-03-25 10:56:05.221000,0.39,52793784
Dividend,2026-03-06 10:53:02.458000,0.3,52793784
Dividend,2026-03-06 10:53:02.458000,0.3,52793784
Dividend,2025-12-31 11:50:38.534000,0.2,52793784
Dividend,2025-12-31 10:54:00.495000,0.23,52793784
Dividend,2026-04-15 09:55:05.077000,0.15,54601823
Dividend,2026-03-12 06:50:14.822000,0.91,53682207
Dividend equivalent,2025-12-31 11:50:38.534000,0.2,52793784
